layer,head,k_embed_contrib,total_score,top_q_layer,top_k_layer
3,29,0.5,100,3,3
3,30,0.5,100,3,1
3,31,0.5,100,3,3
4,0,0.5,100,4,4
4,1,0.5,100,4,4
4,2,0.5,100,4,2
4,3,0.5,100,4,4
4,4,0.5,100,4,4
4,5,0.5,100,4,2
4,6,0.5,100,4,4
4,7,0.5,100,4,4
4,8,0.5,100,4,2
4,9,0.5,100,4,4
4,10,0.5,100,4,4
4,11,0.5,100,4,2
4,12,0.5,100,4,4
4,13,0.5,100,4,4
4,14,0.5,100,4,2
4,15,0.5,100,4,4
4,16,0.5,100,4,4
4,17,0.5,100,4,2
4,18,0.5,100,4,4
4,19,0.5,100,4,4
4,20,0.5,100,4,2
4,21,0.5,100,4,4
4,22,0.5,100,4,4
4,23,0.5,100,4,2
4,24,0.5,100,4,4
4,25,0.5,100,4,4
4,26,0.5,100,4,2
4,27,0.5,100,4,4
4,28,0.5,100,4,4
4,29,0.5,100,4,2
4,30,0.5,100,4,4
4,31,0.5,100,4,4
5,0,0.5,100,5,5
5,1,0.5,100,5,3
5,2,0.5,100,5,5
5,3,0.5,100,5,5
5,4,0.5,100,5,3
5,5,0.5,100,5,5
5,6,0.5,100,5,5
5,7,0.5,100,5,3
5,8,0.5,100,5,5
5,9,0.5,100,5,5
5,10,0.5,100,5,3
5,11,0.5,100,5,5
5,12,0.5,100,5,5
5,13,0.5,100,5,3
5,14,0.5,100,5,5
5,15,0.5,100,5,5
5,16,0.5,100,5,3
5,17,0.5,100,5,5
5,18,0.5,100,5,5
5,19,0.5,100,5,3
5,20,0.5,100,5,5
5,21,0.5,100,5,5
5,22,0.5,100,5,3
5,23,0.5,100,5,5
5,24,0.5,100,5,5
5,25,0.5,100,5,3
5,26,0.5,100,5,5
5,27,0.5,100,5,5
5,28,0.5,100,5,3
5,29,0.5,100,5,5
5,30,0.5,100,5,5
5,31,0.5,100,5,3
6,0,0.5,100,6,4
6,1,0.5,100,6,6
6,2,0.5,100,6,6
6,3,0.5,100,6,4
6,4,0.5,100,6,6
6,5,0.5,100,6,6
6,6,0.5,100,6,4
6,7,0.5,100,6,6
6,8,0.5,100,6,6
6,9,0.5,100,6,4
6,10,0.5,100,6,6
6,11,0.5,100,6,6
6,12,0.5,100,6,4
6,13,0.5,100,6,6
6,14,0.5,100,6,6
6,15,0.5,100,6,4
6,16,0.5,100,6,6
6,17,0.5,100,6,6
6,18,0.5,100,6,4
6,19,0.5,100,6,6
6,20,0.5,100,6,6
6,21,0.5,100,6,4
6,22,0.5,100,6,6
6,23,0.5,100,6,6
6,24,0.5,100,6,4
6,25,0.5,100,6,6
6,26,0.5,100,6,6
6,27,0.5,100,6,4
6,28,0.5,100,6,6
6,29,0.5,100,6,6
6,30,0.5,100,6,4
6,31,0.5,100,6,6
7,0,0.5,100,7,7
7,1,0.5,100,7,7
7,2,0.5,100,7,5
7,3,0.5,100,7,7
7,4,0.5,100,7,7
7,5,0.5,100,7,5
7,6,0.5,100,7,7
7,7,0.5,100,7,7
7,8,0.5,100,7,5
7,9,0.5,100,7,7
7,10,0.5,100,7,7
7,11,0.5,100,7,5
7,12,0.5,100,7,7
7,13,0.5,100,7,7
7,14,0.5,100,7,5
7,15,0.5,100,7,7
7,16,0.5,100,7,7
7,17,0.5,100,7,5
7,18,0.5,100,7,7
7,19,0.5,100,7,7
7,20,0.5,100,7,5
7,21,0.5,100,7,7
7,22,0.5,100,7,7
7,23,0.5,100,7,5
7,24,0.5,100,7,7
7,25,0.5,100,7,7
7,26,0.5,100,7,5
7,27,0.5,100,7,7
7,28,0.5,100,7,7
7,29,0.5,100,7,5
7,30,0.5,100,7,7
7,31,0.5,100,7,7
8,0,0.5,100,8,8
8,1,0.5,100,8,6
8,2,0.5,100,8,8
8,3,0.5,100,8,8
8,4,0.5,100,8,6
8,5,0.5,100,8,8
8,6,0.5,100,8,8
8,7,0.5,100,8,6
8,8,0.5,100,8,8
8,9,0.5,100,8,8
8,10,0.5,100,8,6
8,11,0.5,100,8,8
8,12,0.5,100,8,8
8,13,0.5,100,8,6
8,14,0.5,100,8,8
8,15,0.5,100,8,8
8,16,0.5,100,8,6
8,17,0.5,100,8,8
8,18,0.5,100,8,8
8,19,0.5,100,8,6
8,20,0.5,100,8,8
8,21,0.5,100,8,8
8,22,0.5,100,8,6
8,23,0.5,100,8,8
8,24,0.5,100,8,8
8,25,0.5,100,8,6
8,26,0.5,100,8,8
8,27,0.5,100,8,8
8,28,0.5,100,8,6
8,29,0.5,100,8,8
8,30,0.5,100,8,8
8,31,0.5,100,8,6
9,0,0.5,100,9,7
9,1,0.5,100,9,9
9,2,0.5,100,9,9
9,3,0.5,100,9,7
9,4,0.5,100,9,9
9,5,0.5,100,9,9
9,6,0.5,100,9,7
9,7,0.5,100,9,9
9,8,0.5,100,9,9
9,9,0.5,100,9,7
9,10,0.5,100,9,9
9,11,0.5,100,9,9
9,12,0.5,100,9,7
9,13,0.5,100,9,9
9,14,0.5,100,9,9
9,15,0.5,100,9,7
9,16,0.5,100,9,9
9,17,0.5,100,9,9
9,18,0.5,100,9,7
9,19,0.5,100,9,9
9,20,0.5,100,9,9
9,21,0.5,100,9,7
9,22,0.5,100,9,9
9,23,0.5,100,9,9
9,24,0.5,100,9,7
9,25,0.5,100,9,9
9,26,0.5,100,9,9
9,27,0.5,100,9,7
9,28,0.5,100,9,9
9,29,0.5,100,9,9
9,30,0.5,100,9,7
9,31,0.5,100,9,9
10,0,0.5,100,10,10
10,1,0.5,100,10,10
10,2,0.5,100,10,8
10,3,0.5,100,10,10
10,4,0.5,100,10,10
10,5,0.5,100,10,8
10,6,0.5,100,10,10
10,7,0.5,100,10,10
10,8,0.5,100,10,8
10,9,0.5,100,10,10
10,10,0.5,100,10,10
10,11,0.5,100,10,8
10,12,0.5,100,10,10
10,13,0.5,100,10,10
10,14,0.5,100,10,8
10,15,0.5,100,10,10
10,16,0.5,100,10,10
10,17,0.5,100,10,8
10,18,0.5,100,10,10
10,19,0.5,100,10,10
10,20,0.5,100,10,8
10,21,0.5,100,10,10
10,22,0.5,100,10,10
10,23,0.5,100,10,8
10,24,0.5,100,10,10
10,25,0.5,100,10,10
10,26,0.5,100,10,8
10,27,0.5,100,10,10
10,28,0.5,100,10,10
10,29,0.5,100,10,8
10,30,0.5,100,10,10
10,31,0.5,100,10,10
11,0,0.5,100,11,11
11,1,0.5,100,11,9
11,2,0.5,100,11,11
11,3,0.5,100,11,11
11,4,0.5,100,11,9
11,5,0.5,100,11,11
11,6,0.5,100,11,11
11,7,0.5,100,11,9
11,8,0.5,100,11,11
11,9,0.5,100,11,11
11,10,0.5,100,11,9
11,11,0.5,100,11,11
11,12,0.5,100,11,11
11,13,0.5,100,11,9
11,14,0.5,100,11,11
11,15,0.5,100,11,11
11,16,0.5,100,11,9
11,17,0.5,100,11,11
11,18,0.5,100,11,11
11,19,0.5,100,11,9
11,20,0.5,100,11,11
11,21,0.5,100,11,11
11,22,0.5,100,11,9
11,23,0.5,100,11,11
11,24,0.5,100,11,11
11,25,0.5,100,11,9
11,26,0.5,100,11,11
11,27,0.5,100,11,11
11,28,0.5,100,11,9
11,29,0.5,100,11,11
11,30,0.5,100,11,11
11,31,0.5,100,11,9
12,0,0.5,100,12,10
12,1,0.5,100,12,12
12,2,0.5,100,12,12
12,3,0.5,100,12,10
12,4,0.5,100,12,12
12,5,0.5,100,12,12
12,6,0.5,100,12,10
12,7,0.5,100,12,12
12,8,0.5,100,12,12
12,9,0.5,100,12,10
12,10,0.5,100,12,12
12,11,0.5,100,12,12
12,12,0.5,100,12,10
12,13,0.5,100,12,12
12,14,0.5,100,12,12
12,15,0.5,100,12,10
12,16,0.5,100,12,12
12,17,0.5,100,12,12
12,18,0.5,100,12,10
12,19,0.5,100,12,12
12,20,0.5,100,12,12
12,21,0.5,100,12,10
12,22,0.5,100,12,12
12,23,0.5,100,12,12
12,24,0.5,100,12,10
12,25,0.5,100,12,12
12,26,0.5,100,12,12
12,27,0.5,100,12,10
12,28,0.5,100,12,12
12,29,0.5,100,12,12
12,30,0.5,100,12,10
12,31,0.5,100,12,12
13,0,0.5,100,13,13
13,1,0.5,100,13,13
13,2,0.5,100,13,11
13,3,0.5,100,13,13
13,4,0.5,100,13,13
13,5,0.5,100,13,11
13,6,0.5,100,13,13
13,7,0.5,100,13,13
13,8,0.5,100,13,11
13,9,0.5,100,13,13
13,10,0.5,100,13,13
13,11,0.5,100,13,11
13,12,0.5,100,13,13
13,13,0.5,100,13,13
13,14,0.5,100,13,11
13,15,0.5,100,13,13
13,16,0.5,100,13,13
13,17,0.5,100,13,11
13,18,0.5,100,13,13
13,19,0.5,100,13,13
13,20,0.5,100,13,11
13,21,0.5,100,13,13
13,22,0.5,100,13,13
13,23,0.5,100,13,11
13,24,0.5,100,13,13
13,25,0.5,100,13,13
13,26,0.5,100,13,11
13,27,0.5,100,13,13
13,28,0.5,100,13,13
13,29,0.5,100,13,11
13,30,0.5,100,13,13
13,31,0.5,100,13,13
14,0,0.5,100,14,14
14,1,0.5,100,14,12
14,2,0.5,100,14,14
14,3,0.5,100,14,14
14,4,0.5,100,14,12
14,5,0.5,100,14,14
14,6,0.5,100,14,14
14,7,0.5,100,14,12
14,8,0.5,100,14,14
14,9,0.5,100,14,14
14,10,0.5,100,14,12
14,11,0.5,100,14,14
14,12,0.5,100,14,14
14,13,0.5,100,14,12
14,14,0.5,100,14,14
14,15,0.5,100,14,14
14,16,0.5,100,14,12
14,17,0.5,100,14,14
14,18,0.5,100,14,14
14,19,0.5,100,14,12
14,20,0.5,100,14,14
14,21,0.5,100,14,14
14,22,0.5,100,14,12
14,23,0.5,100,14,14
14,24,0.5,100,14,14
14,25,0.5,100,14,12
14,26,0.5,100,14,14
14,27,0.5,100,14,14
14,28,0.5,100,14,12
14,29,0.5,100,14,14
14,30,0.5,100,14,14
14,31,0.5,100,14,12
15,0,0.5,100,15,13
15,1,0.5,100,15,15
15,2,0.5,100,15,15
15,3,0.5,100,15,13
15,4,0.5,100,15,15
15,5,0.5,100,15,15
15,6,0.5,100,15,13
15,7,0.5,100,15,15
15,8,0.5,100,15,15
15,9,0.5,100,15,13
15,10,0.5,100,15,15
15,11,0.5,100,15,15
15,12,0.5,100,15,13
15,13,0.5,100,15,15
15,14,0.5,100,15,15
15,15,0.5,100,15,13
15,16,0.5,100,15,15
15,17,0.5,100,15,15
15,18,0.5,100,15,13
15,19,0.5,100,15,15
15,20,0.5,100,15,15
15,21,0.5,100,15,13
15,22,0.5,100,15,15
15,23,0.5,100,15,15
15,24,0.5,100,15,13
15,25,0.5,100,15,15
15,26,0.5,100,15,15
15,27,0.5,100,15,13
15,28,0.5,100,15,15
15,29,0.5,100,15,15
15,30,0.5,100,15,13
15,31,0.5,100,15,15
16,0,0.5,100,16,16
16,1,0.5,100,16,16
16,2,0.5,100,16,14
16,3,0.5,100,16,16
16,4,0.5,100,16,16
16,5,0.5,100,16,14
16,6,0.5,100,16,16
16,7,0.5,100,16,16
16,8,0.5,100,16,14
16,9,0.5,100,16,16
16,10,0.5,100,16,16
16,11,0.5,100,16,14
16,12,0.5,100,16,16
16,13,0.5,100,16,16
16,14,0.5,100,16,14
16,15,0.5,100,16,16
16,16,0.5,100,16,16
16,17,0.5,100,16,14
16,18,0.5,100,16,16
16,19,0.5,100,16,16
16,20,0.5,100,16,14
16,21,0.5,100,16,16
16,22,0.5,100,16,16
16,23,0.5,100,16,14
16,24,0.5,100,16,16
16,25,0.5,100,16,16
16,26,0.5,100,16,14
16,27,0.5,100,16,16
16,28,0.5,100,16,16
16,29,0.5,100,16,14
16,30,0.5,100,16,16
16,31,0.5,100,16,16
17,0,0.5,100,17,17
17,1,0.5,100,17,15
17,2,0.5,100,17,17
17,3,0.5,100,17,17
17,4,0.5,100,17,15
17,5,0.5,100,17,17
17,6,0.5,100,17,17
17,7,0.5,100,17,15
17,8,0.5,100,17,17
17,9,0.5,100,17,17
17,10,0.5,100,17,15
17,11,0.5,100,17,17
17,12,0.5,100,17,17
17,13,0.5,100,17,15
17,14,0.5,100,17,17
17,15,0.5,100,17,17
17,16,0.5,100,17,15
17,17,0.5,100,17,17
17,18,0.5,100,17,17
17,19,0.5,100,17,15
17,20,0.5,100,17,17
17,21,0.5,100,17,17
17,22,0.5,100,17,15
17,23,0.5,100,17,17
17,24,0.5,100,17,17
17,25,0.5,100,17,15
17,26,0.5,100,17,17
17,27,0.5,100,17,17
17,28,0.5,100,17,15
17,29,0.5,100,17,17
17,30,0.5,100,17,17
17,31,0.5,100,17,15
18,0,0.5,100,18,16
18,1,0.5,100,18,18
18,2,0.5,100,18,18
18,3,0.5,100,18,16
18,4,0.5,100,18,18
18,5,0.5,100,18,18
18,6,0.5,100,18,16
18,7,0.5,100,18,18
18,8,0.5,100,18,18
18,9,0.5,100,18,16
18,10,0.5,100,18,18
18,11,0.5,100,18,18
18,12,0.5,100,18,16
18,13,0.5,100,18,18
18,14,0.5,100,18,18
18,15,0.5,100,18,16
18,16,0.5,100,18,18
18,17,0.5,100,18,18
18,18,0.5,100,18,16
18,19,0.5,100,18,18
18,20,0.5,100,18,18
18,21,0.5,100,18,16
18,22,0.5,100,18,18
18,23,0.5,100,18,18
18,24,0.5,100,18,16
18,25,0.5,100,18,18
18,26,0.5,100,18,18
18,27,0.5,100,18,16
18,28,0.5,100,18,18
18,29,0.5,100,18,18
18,30,0.5,100,18,16
18,31,0.5,100,18,18
19,0,0.5,100,19,19
19,1,0.5,100,19,19
19,2,0.5,100,19,17
19,3,0.5,100,19,19
19,4,0.5,100,19,19
19,5,0.5,100,19,17
19,6,0.5,100,19,19
19,7,0.5,100,19,19
19,8,0.5,100,19,17
19,9,0.5,100,19,19
19,10,0.5,100,19,19
19,11,0.5,100,19,17
19,12,0.5,100,19,19
19,13,0.5,100,19,19
19,14,0.5,100,19,17
19,15,0.5,100,19,19
19,16,0.5,100,19,19
19,17,0.5,100,19,17
19,18,0.5,100,19,19
19,19,0.5,100,19,19
19,20,0.5,100,19,17
19,21,0.5,100,19,19
19,22,0.5,100,19,19
19,23,0.5,100,19,17
19,24,0.5,100,19,19
19,25,0.5,100,19,19
19,26,0.5,100,19,17
19,27,0.5,100,19,19
19,28,0.5,100,19,19
19,29,0.5,100,19,17
19,30,0.5,100,19,19
19,31,0.5,100,19,19
20,0,0.5,100,20,20
20,1,0.5,100,20,18
20,2,0.5,100,20,20
20,3,0.5,100,20,20
20,4,0.5,100,20,18
20,5,0.5,100,20,20
20,6,0.5,100,20,20
20,7,0.5,100,20,18
20,8,0.5,100,20,20
20,9,0.5,100,20,20
20,10,0.5,100,20,18
20,11,0.5,100,20,20
20,12,0.5,100,20,20
20,13,0.5,100,20,18
20,14,0.5,100,20,20
20,15,0.5,100,20,20
20,16,0.5,100,20,18
20,17,0.5,100,20,20
20,18,0.5,100,20,20
20,19,0.5,100,20,18
20,20,0.5,100,20,20
20,21,0.5,100,20,20
20,22,0.5,100,20,18
20,23,0.5,100,20,20
20,24,0.5,100,20,20
20,25,0.5,100,20,18
20,26,0.5,100,20,20
20,27,0.5,100,20,20
20,28,0.5,100,20,18
20,29,0.5,100,20,20
20,30,0.5,100,20,20
20,31,0.5,100,20,18
21,0,0.5,100,21,19
21,1,0.5,100,21,19
21,2,0.5,100,21,19
21,3,0.5,100,21,19
21,4,0.5,100,21,19
21,5,0.5,100,21,19
21,6,0.5,100,21,19
21,7,0.5,100,21,19
21,8,0.5,100,21,19
21,9,0.5,100,21,19
21,10,0.5,100,21,19
21,11,0.5,100,21,19
21,12,0.5,100,21,19
21,13,0.5,100,21,19
21,14,0.5,100,21,19
21,15,0.5,100,21,19
21,16,0.5,100,21,19
21,17,0.5,100,21,19
21,18,0.5,100,21,19
21,19,0.5,100,21,19
21,20,0.5,100,21,19
21,21,0.5,100,21,19
21,22,0.5,100,21,19
21,23,0.5,100,21,19
21,24,0.5,100,21,19
21,25,0.5,100,21,19
21,26,0.5,100,21,19
21,27,0.5,100,21,19
21,28,0.5,100,21,19
21,29,0.5,100,21,19
21,30,0.5,100,21,19
21,31,0.5,100,21,19
22,0,0.5,100,22,20
22,1,0.5,100,22,20
22,2,0.5,100,22,20
22,3,0.5,100,22,20
22,4,0.5,100,22,20
22,5,0.5,100,22,20
22,6,0.5,100,22,20
22,7,0.5,100,22,20
22,8,0.5,100,22,20
22,9,0.5,100,22,20
22,10,0.5,100,22,20
22,11,0.5,100,22,20
22,12,0.5,100,22,20
22,13,0.5,100,22,20
22,14,0.5,100,22,20
22,15,0.5,100,22,20
22,16,0.5,100,22,20
22,17,0.5,100,22,20
22,18,0.5,100,22,20
22,19,0.5,100,22,20
22,20,0.5,100,22,20
22,21,0.5,100,22,20
22,22,0.5,100,22,20
22,23,0.5,100,22,20
22,24,0.5,100,22,20
22,25,0.5,100,22,20
22,26,0.5,100,22,20
22,27,0.5,100,22,20
22,28,0.5,100,22,20
22,29,0.5,100,22,20
22,30,0.5,100,22,20
22,31,0.5,100,22,20
23,0,0.5,100,23,21
23,1,0.5,100,23,21
23,2,0.5,100,23,21
23,3,0.5,100,23,21
23,4,0.5,100,23,21
23,5,0.5,100,23,21
23,6,0.5,100,23,21
23,7,0.5,100,23,21
23,8,0.5,100,23,21
23,9,0.5,100,23,21
23,10,0.5,100,23,21
23,11,0.5,100,23,21
23,12,0.5,100,23,21
23,13,0.5,100,23,21
23,14,0.5,100,23,21
23,15,0.5,100,23,21
23,16,0.5,100,23,21
23,17,0.5,100,23,21
23,18,0.5,100,23,21
23,19,0.5,100,23,21
23,20,0.5,100,23,21
23,21,0.5,100,23,21
23,22,0.5,100,23,21
23,23,0.5,100,23,21
23,24,0.5,100,23,21
23,25,0.5,100,23,21
23,26,0.5,100,23,21
23,27,0.5,100,23,21
23,28,0.5,100,23,21
23,29,0.5,100,23,21
23,30,0.5,100,23,21
23,31,0.5,100,23,21
