layer,head,label,max_attn_weight,top_q_layer,top_k_layer,q_embed_contrib,k_embed_contrib,total_score
8,14,induction,0.9999985158443451,2,2,-0.272962936013937,-0.0042518788482993845,18.865307521820068
8,17,induction,0.12796894125640393,8,5,0.051975817664060744,-0.004366347589530051,0.3200009856838733
8,18,induction,0.08650895282626152,8,7,0.03841036029625684,-0.003855067223776132,0.04415997094474733
8,19,induction,0.10660456418991089,8,1,0.011130141169996933,-0.0014459049241850152,0.15233948901295663
8,20,induction,1.0,2,2,-0.11758367270231247,-0.0073996907158289105,23.42549753189087
8,21,induction,0.9999999642372132,2,2,-0.06347980611026287,-0.00232968854252249,21.42095766067505
8,22,induction,1.0,2,2,-0.03119707014411688,-0.0011014123272616416,23.807421970367432
8,24,induction,0.9999992907047272,6,2,-0.3091092571616173,0.002308050700230524,22.120905780792235
8,27,induction,0.9999999463558197,6,2,0.006408085022121668,0.0031972637050785126,21.51190185546875
8,28,induction,0.9999911665916443,2,2,-0.1297771092504263,-0.003885263649863191,15.463750457763672
8,29,induction,0.9999997437000274,8,2,0.2086769724264741,0.00010313271195627749,18.935915327072145
8,30,induction,0.9999979138374329,2,2,-0.15313289761543275,-0.00945911651942879,17.822058868408202
8,31,induction,1.0,7,2,-0.031947487685829404,-0.01088397866114974,26.370428943634032
9,0,induction,0.9999978005886078,9,2,-0.0073179579339921474,-0.0028466129093430935,20.746385288238525
9,4,induction,0.9723509609699249,7,2,-0.505078592011705,-0.008973494847305119,10.90608470439911
9,5,induction,0.9302694406360388,7,2,0.5520712699741125,-0.0016474087169626728,11.55808961391449
9,6,induction,0.4731713514775038,6,2,0.42567520060110836,-0.004684633633587509,2.5485356682911515
9,15,induction,0.9999849915504455,9,2,0.12572092059999704,-0.0005294784961733967,29.270062255859376
9,16,induction,1.0,9,2,0.1773972060298547,-0.012534576095640659,42.19074878692627
9,21,induction,1.0,9,2,1.0413903396576643,-0.010284405970014631,38.44306421279907
9,22,induction,0.4664928589016199,7,2,0.21976340743422043,-0.007905925897648557,3.0473356725648046
9,23,induction,1.0,9,2,0.3840571915032342,-0.002273025328759104,33.764555072784425
9,27,induction,0.9999535948038101,9,2,0.07235303269699216,0.0009422468749107793,15.196601390838623
10,1,induction,0.9263636637479067,10,2,0.35437001986429095,-0.008701503451447934,12.908510346710681
10,9,induction,1.0,9,2,0.25005314000882206,-0.013387481961399317,46.20184688568115
10,10,induction,1.0,9,2,-0.039887525420635936,0.0012153725838288665,40.35685787200928
10,11,induction,1.0,10,2,-0.061127920635044575,-0.007465867907740176,33.067257499694826
10,12,induction,1.0,9,2,-0.008664094307459892,-0.0001836686220485717,25.77770004272461
10,13,induction,0.9999992728233338,9,2,-0.11584799331612886,0.0015995726658729835,20.047054386138917
10,14,induction,0.999996441602707,9,2,0.042021593637764455,0.0010446904838318006,17.02526798248291
10,15,induction,0.999995481967926,2,2,-0.12700404985807837,0.0027263139898423107,16.96364688873291
10,20,induction,0.0938307449221611,10,10,-0.011863113241270184,0.008048054529353976,-0.26715283170342446
10,21,induction,0.09511882476508618,5,10,0.0031685602152720094,0.006971191172488034,-0.11944905389100313
10,22,induction,0.08836641162633896,6,10,0.0029253012471599504,0.006064639188116417,-0.15874850377440453
10,23,induction,0.12212181352078914,10,10,0.014735826186370104,0.01902387017617002,0.018364465981721877
10,27,induction,1.0,9,2,0.0767852523829788,-0.008404779326519929,28.379265975952148
11,4,induction,0.9249264162033797,10,2,0.1575071587692946,-0.008956593478797004,8.94252854194492
11,21,induction,1.0,11,2,-0.09828061684966087,-0.00936306354124099,26.66637315750122
11,23,induction,1.0,11,2,-0.5550267320126295,-0.010848038643598557,34.10865936279297
11,24,induction,1.0,11,2,-0.37245581168681385,-0.006182376958895475,38.65567111968994
11,25,induction,1.0,11,2,0.04850784740410745,0.003023649344686419,50.60665435791016
12,0,induction,0.27072205729782584,12,2,0.05018931068480015,0.003105076341307722,1.1411958631128072
12,13,induction,0.8374585516750812,11,2,0.17704765936359762,-0.006667151692090556,6.955432204902172
12,15,induction,0.6016592282801867,11,2,-0.010987892909906805,0.00761770540557336,3.079559323191643
12,17,local,1.0,12,2,0.23832421321421862,0.025792477140203118,73.98239402770996
13,20,induction,1.0,11,2,0.17160714709898456,0.009824713342823088,29.32155809402466
14,4,local,1.0,14,2,0.16646962165832518,-0.003967379790265113,51.87369003295898
14,6,local,1.0,12,2,0.269939580373466,0.03730280641466379,49.95166530609131
14,26,induction,1.0,12,2,-0.32171872071921825,0.014642483415082097,113.90622673034667
14,27,induction,1.0,12,2,-0.0281743498519063,-0.009542660764418542,102.75809059143066
